FBgn_ID	Gene_Symbol	FBtr_ID	FBpp_ID
FBgn0020622	Pi3K21B	FBtr0331208	FBpp0303635
FBgn0004611	Plc21C	FBtr0078049	FBpp0089225
FBgn0031248	CG11912	FBtr0078099	FBpp0077758
FBgn0031249	CG11911	FBtr0078098	FBpp0077757
FBgn0053127	CG33127	FBtr0078052	FBpp0077712
FBgn0264086	CG43755	FBtr0330695	FBpp0303538
FBgn0051921	CG31921	FBtr0078096	FBpp0077755
FBgn0031250	Ent1	FBtr0078094	FBpp0077753
FBgn0000061	al	FBtr0078053	FBpp0077713
FBgn0031251	CG4213	FBtr0078093	FBpp0077752
FBgn0003278	Polr1B	FBtr0078054	FBpp0077714
FBgn0264855	AP-2alpha	FBtr0089488	FBpp0088490
FBgn0263933	ebi	FBtr0078055	FBpp0077715
FBgn0031252	CG13690	FBtr0078090	FBpp0077750
FBgn0002593	RpLP1	FBtr0331932	FBpp0304265
FBgn0031253	CG11885	FBtr0078089	FBpp0077749
FBgn0031254	CG13692	FBtr0078057	FBpp0077717
FBgn0031255	BBS8	FBtr0078058	FBpp0077718
FBgn0004583	ex	FBtr0078059	FBpp0077719
FBgn0015924	crq	FBtr0078087	FBpp0077747
FBgn0031256	shv	FBtr0078060	FBpp0077720
FBgn0031257	CG4133	FBtr0078061	FBpp0077721
FBgn0031258	CG4297	FBtr0310034	FBpp0301737
FBgn0027592	MED15	FBtr0078062	FBpp0077722
FBgn0003963	ush	FBtr0333012	FBpp0305227
FBgn0043364	cbt	FBtr0078083	FBpp0077743
FBgn0010602	lwr	FBtr0310028	FBpp0301731
FBgn0031260	Spp	FBtr0078080	FBpp0077740
FBgn0005660	Ets21C	FBtr0344014	FBpp0310465
FBgn0031261	nAChRbeta3	FBtr0078064	FBpp0077724
FBgn0260933	rempA	FBtr0303763	FBpp0292775
FBgn0031263	Tspo	FBtr0078066	FBpp0077726
FBgn0031264	uncNacbeta	FBtr0345577	FBpp0311648
FBgn0031265	CG2794	FBtr0078067	FBpp0077727
FBgn0021874	Nle	FBtr0078075	FBpp0077735
FBgn0031266	Sf3b1	FBtr0332340	FBpp0304617
FBgn0031267	Ipk2	FBtr0078074	FBpp0077734
FBgn0031268	cold	FBtr0310022	FBpp0301725
FBgn0013323	Ptth	FBtr0346650	FBpp0312235
FBgn0023489	Pph13	FBtr0078070	FBpp0077730
FBgn0010323	Gsc	FBtr0343220	FBpp0309909
FBgn0031270	CG13689	FBtr0310023	FBpp0301726
FBgn0040106	lectin-21Cb	FBtr0308305	FBpp0300624
FBgn0040107	lectin-21Ca	FBtr0077998	FBpp0077663
FBgn0031273	CG2839	FBtr0077999	FBpp0077664
FBgn0284247	ds	FBtr0078045	FBpp0077708
FBgn0011244	Hsp60B	FBtr0078000	FBpp0077665
FBgn0026438	Eaat2	FBtr0078043	FBpp0077707
FBgn0031275	GABA-B-R3	FBtr0343785	FBpp0310350
FBgn0031276	CG12506	FBtr0078003	FBpp0077668
FBgn0040725	CG13946	FBtr0078004	FBpp0077669
FBgn0031277	CG13947	FBtr0078005	FBpp0077670
FBgn0041250	Gr21a	FBtr0078006	FBpp0077671
FBgn0031279	CG3544	FBtr0331652	FBpp0304042
FBgn0000442	Pkg21D	FBtr0078042	FBpp0077706
FBgn0051658	Nnf1b	FBtr0078008	FBpp0077673
FBgn0086130	Dbp21E2	FBtr0078009	FBpp0077674
FBgn0031281	Saf6	FBtr0078041	FBpp0077705
FBgn0031282	Pex12	FBtr0332972	FBpp0305188
FBgn0031283	CG15880	FBtr0078040	FBpp0077704
FBgn0031284	PGAP2	FBtr0078039	FBpp0077703
FBgn0015621	Clp	FBtr0078011	FBpp0077676
FBgn0031285	CG3662	FBtr0305507	FBpp0293959
FBgn0031286	CG3862	FBtr0078038	FBpp0077702
FBgn0010583	dock	FBtr0078013	FBpp0077678
FBgn0020304	drongo	FBtr0302120	FBpp0291330
FBgn0031287	CG4291	FBtr0334797	FBpp0306844
FBgn0020545	kraken	FBtr0078016	FBpp0077681
FBgn0031288	CG13949	FBtr0334796	FBpp0306843
FBgn0031289	CG13950	FBtr0445832	FBpp0402782
FBgn0029095	aru	FBtr0078031	FBpp0077695
FBgn0020305	dbe	FBtr0078030	FBpp0077694
FBgn0053526	PNUTS	FBtr0091489	FBpp0077687
FBgn0031292	CG15824	FBtr0345634	FBpp0311698
FBgn0002936	ninaA	FBtr0078023	FBpp0077688
FBgn0002563	Lsp1beta	FBtr0345738	FBpp0311765
FBgn0046113	GluRIIC	FBtr0336969	FBpp0307912
FBgn0028481	Tmtc2	FBtr0077949	FBpp0077614
FBgn0031294	IA-2	FBtr0301417	FBpp0290631
FBgn0031295	CG4375	FBtr0077997	FBpp0077662
FBgn0031296	gNacalpha	FBtr0077951	FBpp0077616
FBgn0003310	S	FBtr0077993	FBpp0077658
FBgn0015905	ast	FBtr0077952	FBpp0077617
FBgn0031298	Atg4a	FBtr0332569	FBpp0304824
FBgn0031299	CG4629	FBtr0332570	FBpp0304825
FBgn0261938	PolrMT	FBtr0332273	FBpp0304562
FBgn0031301	CG14339	FBtr0077954	FBpp0077619
FBgn0031302	CG14340	FBtr0077955	FBpp0077620
FBgn0016926	Pino	FBtr0077987	FBpp0077652
FBgn0031304	TBC1D23	FBtr0077956	FBpp0077621
FBgn0031305	Iris	FBtr0077986	FBpp0077651
FBgn0031306	Spar	FBtr0332271	FBpp0304560
FBgn0031307	MFS3	FBtr0077958	FBpp0077623
FBgn0283525	l(2)10685	FBtr0077959	FBpp0077624
FBgn0031309	Tfb4	FBtr0077985	FBpp0077650
FBgn0031310	Vps29	FBtr0077960	FBpp0077625
FBgn0261458	capt	FBtr0100022	FBpp0099390
FBgn0031312	Tango14	FBtr0077961	FBpp0077626
FBgn0031313	CG5080	FBtr0077981	FBpp0077646
FBgn0031314	IntS14	FBtr0077962	FBpp0077627
FBgn0031315	CG14341	FBtr0077964	FBpp0077629
FBgn0024314	Plap	FBtr0344015	FBpp0310466
FBgn0051922	Snrnp20	FBtr0077965	FBpp0077630
FBgn0031317	Charon	FBtr0077979	FBpp0077644
FBgn0031318	CG4887	FBtr0331288	FBpp0303724
FBgn0031319	CG4896	FBtr0077968	FBpp0077633
FBgn0031320	CG5126	FBtr0077978	FBpp0077643
FBgn0031321	Tgt	FBtr0077971	FBpp0077636
FBgn0031322	CG5001	FBtr0307056	FBpp0297899
FBgn0031323	CG5139	FBtr0077977	FBpp0077642
FBgn0263080	CG43348	FBtr0335380	FBpp0307364
FBgn0263081	CG43349	FBtr0335381	FBpp0307365
FBgn0040723	CG5011	FBtr0335382	FBpp0307366
FBgn0031324	CG14342	FBtr0114498	FBpp0112990
FBgn0259229	CG42329	FBtr0299796	FBpp0289074
FBgn0031327	CG5397	FBtr0335383	FBpp0307367
FBgn0041097	robo3	FBtr0479835	FBpp0428169
FBgn0011294	a5	FBtr0077922	FBpp0077588
FBgn0031331	CG5440	FBtr0343837	FBpp0310385
FBgn0053923	CG33923	FBtr0343846	FBpp0310392
FBgn0053922	CG33922	FBtr0091926	FBpp0091161
FBgn0026141	Cdlc2	FBtr0305553	FBpp0294004
FBgn0031332	CG5556	FBtr0077948	FBpp0077613
FBgn0031333	CG5561	FBtr0077947	FBpp0077612
FBgn0051924	CG31924	FBtr0077946	FBpp0077611
FBgn0031335	CG5565	FBtr0077944	FBpp0077609
FBgn0051659	CG31659	FBtr0077943	FBpp0077608
FBgn0053126	NLaz	FBtr0343844	FBpp0310390
FBgn0031337	CG14346	FBtr0343838	FBpp0310386
FBgn0002543	robo2	FBtr0077941	FBpp0077606
FBgn0263320	CG43401	FBtr0343841	FBpp0310388
FBgn0263321	CG43402	FBtr0343842	FBpp0310389
FBgn0051928	CG31928	FBtr0334817	FBpp0306852
FBgn0053128	CG33128	FBtr0077930	FBpp0077595
FBgn0051926	CG31926	FBtr0334818	FBpp0306853
FBgn0051661	CG31661	FBtr0077932	FBpp0077597
FBgn0031343	CG18131	FBtr0334821	FBpp0306855
FBgn0031344	CG7420	FBtr0334820	FBpp0306854
FBgn0031345	CG18132	FBtr0077919	FBpp0077585
FBgn0001174	halo	FBtr0114554	FBpp0113046
FBgn0026398	Or22a	FBtr0077873	FBpp0077541
FBgn0026397	Or22b	FBtr0077874	FBpp0077542
FBgn0261509	haf	FBtr0310019	FBpp0301722
FBgn0031347	nis	FBtr0077917	FBpp0077583
FBgn0051935	Rab3GAP1	FBtr0077916	FBpp0077582
FBgn0031351	CG14352	FBtr0077876	FBpp0077544
FBgn0021906	RFeSP	FBtr0334842	FBpp0306867
FBgn0086758	chinmo	FBtr0307047	FBpp0297890
FBgn0011570	cpb	FBtr0077881	FBpp0077549
FBgn0031356	CG17660	FBtr0077912	FBpp0077578
FBgn0031357	mRpL48	FBtr0077882	FBpp0077550
FBgn0086698	frtz	FBtr0077911	FBpp0077577
FBgn0031359	Rim2	FBtr0305618	FBpp0294064
FBgn0000579	Eno	FBtr0077906	FBpp0077572
FBgn0260648	Rrp40	FBtr0345430	FBpp0311555
FBgn0031360	CG31937	FBtr0077884	FBpp0077552
FBgn0031361	CG17652	FBtr0333543	FBpp0305723
FBgn0264494	CG17646	FBtr0077885	FBpp0077553
FBgn0027597	CG17712	FBtr0077903	FBpp0077569
FBgn0031364	CG17648	FBtr0077887	FBpp0077555
FBgn0041249	Gr22f	FBtr0077902	FBpp0077568
FBgn0031365	CG17650	FBtr0077901	FBpp0077567
FBgn0045497	Gr22e	FBtr0077888	FBpp0077556
FBgn0045498	Gr22d	FBtr0310114	FBpp0301799
FBgn0265138	Gr22c	FBtr0077899	FBpp0077566
FBgn0045500	Gr22b	FBtr0100188	FBpp0099546
FBgn0045501	Gr22a	FBtr0077897	FBpp0077565
FBgn0051933	CG31933	FBtr0077896	FBpp0077564
FBgn0051664	CG31664	FBtr0473603	FBpp0423066
FBgn0031367	c-cup	FBtr0077894	FBpp0077562
FBgn0051665	wry	FBtr0089786	FBpp0088727
FBgn0051663	CG31663	FBtr0334826	FBpp0306859
FBgn0031372	CG7295	FBtr0334824	FBpp0306858
FBgn0031373	CG15358	FBtr0473590	FBpp0423053
FBgn0031374	Wdr62	FBtr0077811	FBpp0077488
FBgn0040719	CG15357	FBtr0333008	FBpp0305223
FBgn0053673	CG33673	FBtr0307516	FBpp0300171
FBgn0031375	erm	FBtr0330200	FBpp0303233
FBgn0267972	Der-1	FBtr0334758	FBpp0306799
FBgn0031377	CG15356	FBtr0077869	FBpp0077538
FBgn0031378	CG15362	FBtr0077814	FBpp0077490
FBgn0031379	CG7289	FBtr0077815	FBpp0077491
FBgn0001125	Got2	FBtr0077867	FBpp0077536
FBgn0031381	Npc2a	FBtr0077816	FBpp0077492
FBgn0043539	Obp22a	FBtr0334760	FBpp0306801
FBgn0053543	elff	FBtr0309285	FBpp0301209
FBgn0040718	CG15353	FBtr0077863	FBpp0077532
FBgn0040717	Nplp4	FBtr0334759	FBpp0306800
FBgn0031384	CG4238	FBtr0301068	FBpp0290290
FBgn0259192	CG42296	FBtr0299676	FBpp0288954
FBgn0259230	lectin-22C	FBtr0299675	FBpp0288953
FBgn0003557	Su(dx)	FBtr0077822	FBpp0077495
FBgn0028952	Kebab	FBtr0077825	FBpp0077498
FBgn0026396	Or22c	FBtr0077826	FBpp0077499
FBgn0053516	dpr3	FBtr0334783	FBpp0306836
FBgn0031388	Paf1L	FBtr0077827	FBpp0077500
FBgn0031389	CG4259	FBtr0334781	FBpp0306834
FBgn0004507	Glyp	FBtr0077828	FBpp0077501
FBgn0031390	tho2	FBtr0077853	FBpp0077525
FBgn0031391	CG11723	FBtr0334813	FBpp0306850
FBgn0027509	Tbcd	FBtr0077829	FBpp0077502
FBgn0031392	AIF	FBtr0077830	FBpp0077503
FBgn0031393	CG15382	FBtr0077832	FBpp0077505
FBgn0000097	aop	FBtr0077850	FBpp0077522
FBgn0031395	CG10874	FBtr0077848	FBpp0077520
FBgn0085201	COX7AL2	FBtr0330663	FBpp0303513
FBgn0051668	CG31668	FBtr0307523	FBpp0300178
FBgn0053124	CG33124	FBtr0307522	FBpp0300177
FBgn0031397	CG15385	FBtr0077845	FBpp0077517
FBgn0010288	Uch	FBtr0077844	FBpp0077516
FBgn0085203	CG34174	FBtr0112365	FBpp0111280
FBgn0031398	daed	FBtr0077843	FBpp0077515
FBgn0040715	CG15386	FBtr0077842	FBpp0077514
FBgn0259717	CG42371	FBtr0299970	FBpp0289247
FBgn0031399	mio	FBtr0077835	FBpp0077507
FBgn0031401	papi	FBtr0077836	FBpp0077508
FBgn0031403	CG15387	FBtr0113015	FBpp0111928
FBgn0267378	sau	FBtr0100673	FBpp0100140
FBgn0262126	Sec24CD	FBtr0329964	FBpp0302999
FBgn0051679	Tengl3	FBtr0077809	FBpp0077486
FBgn0052463	Tengl2	FBtr0077808	FBpp0077485
FBgn0051682	Tengl1	FBtr0077807	FBpp0077484
FBgn0264979	CG4267	FBtr0335159	FBpp0307157
FBgn0011832	Ser12	FBtr0077806	FBpp0077483
FBgn0042186	CG17239	FBtr0335163	FBpp0307159
FBgn0042187	CG17234	FBtr0077753	FBpp0077433
FBgn0031406	Send1	FBtr0077804	FBpp0077481
FBgn0031407	CG4270	FBtr0077754	FBpp0077434
FBgn0054049	CG34049	FBtr0302372	FBpp0291567
FBgn0250841	CG17242	FBtr0335162	FBpp0307158
FBgn0031409	CG4271	FBtr0077756	FBpp0077436
FBgn0051681	CG31681	FBtr0077802	FBpp0077479
FBgn0261523	CG42658	FBtr0481631	FBpp0428413
FBgn0031410	CG17237	FBtr0077801	FBpp0077478
FBgn0028570	robl22E	FBtr0331451	FBpp0303868
FBgn0051949	CG31949	FBtr0303208	FBpp0292306
FBgn0031412	CG16995	FBtr0077758	FBpp0077438
FBgn0031413	CG9967	FBtr0100648	FBpp0100109
FBgn0031414	eys	FBtr0344663	FBpp0311005
FBgn0014010	Rab5	FBtr0077793	FBpp0077470
FBgn0261647	Axud1	FBtr0077762	FBpp0077442
FBgn0031417	CG3597	FBtr0077792	FBpp0077469
FBgn0031418	CG3609	FBtr0077791	FBpp0077468
FBgn0031419	Mterf4	FBtr0077764	FBpp0077444
FBgn0031420	Atxn7	FBtr0077765	FBpp0077445
FBgn0264672	Eogt	FBtr0077767	FBpp0077447
FBgn0031422	PIG-Wa	FBtr0077768	FBpp0077448
FBgn0031423	CG3557	FBtr0077790	FBpp0077467
FBgn0264081	CG43750	FBtr0335464	FBpp0307441
FBgn0287218	CG46448	FBtr0475317	FBpp0423421
FBgn0031424	VGlut1	FBtr0077769	FBpp0077449
FBgn0031426	CG18641	FBtr0307079	FBpp0297922
FBgn0051948	CG31948	FBtr0077787	FBpp0077464
FBgn0085477	CG34448	FBtr0112752	FBpp0111664
FBgn0085476	CG34447	FBtr0112751	FBpp0111663
FBgn0031428	CG9886	FBtr0335462	FBpp0307439
FBgn0264988	CG44139	FBtr0335463	FBpp0307440
FBgn0000490	dpp	FBtr0077771	FBpp0077451
FBgn0264978	Slh	FBtr0335169	FBpp0307162
FBgn0011818	oaf	FBtr0077777	FBpp0077456
FBgn0031430	CG3528	FBtr0077781	FBpp0077460
FBgn0031431	CG3515	FBtr0077750	FBpp0077430
FBgn0031432	Cyp309a1	FBtr0335167	FBpp0307161
FBgn0041337	Cyp309a2	FBtr0077748	FBpp0077428
FBgn0026778	Rad1	FBtr0077747	FBpp0077427
FBgn0085343	Sws1	FBtr0112512	FBpp0111424
FBgn0031434	insv	FBtr0077746	FBpp0077426
FBgn0031435	Elba2	FBtr0077693	FBpp0077377
FBgn0031436	ND-B17.2	FBtr0335174	FBpp0307167
FBgn0031437	Arpc5	FBtr0335170	FBpp0307163
FBgn0026479	Drp1	FBtr0335173	FBpp0307166
FBgn0250835	CG15394	FBtr0335172	FBpp0307165
FBgn0031440	CG15395	FBtr0114513	FBpp0113005
FBgn0263322	CG43403	FBtr0308746	FBpp0300927
FBgn0031441	CG9962	FBtr0077743	FBpp0077423
FBgn0264433	CG43851	FBtr0332512	FBpp0304787
FBgn0053125	CG33125	FBtr0302456	FBpp0291644
FBgn0031442	Prosbeta4R1	FBtr0077697	FBpp0077381
FBgn0026395	Or23a	FBtr0077698	FBpp0077382
FBgn0031443	Prosbeta4R2	FBtr0332513	FBpp0304788
FBgn0031444	Trf4	FBtr0077700	FBpp0077384
FBgn0041248	Gr23a	FBtr0273435	FBpp0271943
FBgn0051690	Tmtc1	FBtr0301682	FBpp0290896
FBgn0031446	Trf5	FBtr0300986	FBpp0290208
FBgn0031449	CG31689	FBtr0334161	FBpp0306278
FBgn0031450	Hrs	FBtr0089751	FBpp0088692
FBgn0031451	Pgk2	FBtr0077740	FBpp0077420
FBgn0031452	Cwc25	FBtr0077712	FBpp0077396
FBgn0250906	Pgk	FBtr0330718	FBpp0303562
FBgn0031453	Bacc	FBtr0335125	FBpp0307124
FBgn0031455	Snapin	FBtr0077737	FBpp0077417
FBgn0031454	HemK2	FBtr0100383	FBpp0099795
FBgn0031456	Tnpo-SR	FBtr0335126	FBpp0307125
FBgn0031457	Snx21	FBtr0335129	FBpp0307128
FBgn0031458	aph-1	FBtr0335127	FBpp0307126
FBgn0026324	Taf10b	FBtr0077735	FBpp0077415
FBgn0028398	Taf10	FBtr0077717	FBpp0077401
FBgn0019830	colt	FBtr0077731	FBpp0077414
FBgn0031459	HINT1	FBtr0077718	FBpp0077402
FBgn0031460	CG15399	FBtr0077730	FBpp0077413
FBgn0004242	Syt1	FBtr0345331	FBpp0311487
FBgn0031461	daw	FBtr0335151	FBpp0307150
FBgn0031462	Pykl2	FBtr0077722	FBpp0077406
FBgn0031463	G6p	FBtr0113017	FBpp0111930
FBgn0283531	Duox	FBtr0300382	FBpp0289611
FBgn0031465	CG3123	FBtr0077723	FBpp0077407
FBgn0031466	CG3119	FBtr0077691	FBpp0077375
FBgn0031467	Cpr23B	FBtr0077618	FBpp0077304
FBgn0031468	CG2975	FBtr0077619	FBpp0077305
FBgn0031469	CG18558	FBtr0273251	FBpp0271759
FBgn0031470	CG18557	FBtr0077689	FBpp0077373
FBgn0031471	CG3117	FBtr0300356	FBpp0289585
FBgn0031472	CG2983	FBtr0335130	FBpp0307129
FBgn0031473	CG3104	FBtr0077686	FBpp0077370
FBgn0015521	RpS21	FBtr0077623	FBpp0077309
FBgn0031474	CG2991	FBtr0077625	FBpp0077310
FBgn0051694	Ifrd1	FBtr0077685	FBpp0077369
FBgn0031476	CG8813	FBtr0077628	FBpp0077313
FBgn0031478	Acbp7	FBtr0077629	FBpp0077314
FBgn0031479	Prx6a	FBtr0077684	FBpp0077368
FBgn0051950	Sbat	FBtr0332457	FBpp0304730
FBgn0028970	RabGGTb	FBtr0077631	FBpp0077316
FBgn0024947	NTPase	FBtr0077680	FBpp0077364
FBgn0041111	lilli	FBtr0077633	FBpp0077318
FBgn0010263	Rbp9	FBtr0100468	FBpp0099898
FBgn0024920	Ts	FBtr0077679	FBpp0077363
FBgn0004584	Rrp1	FBtr0077678	FBpp0077362
FBgn0260639	gammaTub23C	FBtr0077641	FBpp0077326
FBgn0031483	CG9641	FBtr0077676	FBpp0077360
FBgn0031484	CG3165	FBtr0077642	FBpp0077327
FBgn0031485	CG9643	FBtr0343783	FBpp0310348
FBgn0250786	Chd1	FBtr0331654	FBpp0304044
FBgn0025109	Bem46	FBtr0077643	FBpp0077328
FBgn0002989	okr	FBtr0077673	FBpp0077357
FBgn0025681	CG3558	FBtr0331653	FBpp0304043
FBgn0031488	Ccdc85	FBtr0077646	FBpp0077331
FBgn0031489	CG17224	FBtr0077671	FBpp0077355
FBgn0031490	CG17264	FBtr0077647	FBpp0077332
FBgn0031491	alpha4GT1	FBtr0077670	FBpp0077354
FBgn0031492	Prp40	FBtr0077648	FBpp0077333
FBgn0031493	Sf3b2	FBtr0335484	FBpp0307457
FBgn0031494	CG17219	FBtr0077650	FBpp0077335
FBgn0031495	GABPI	FBtr0077651	FBpp0077336
FBgn0031496	CG17258	FBtr0300814	FBpp0290038
FBgn0031497	SerRS	FBtr0077667	FBpp0077351
FBgn0031498	CG17260	FBtr0344088	FBpp0310513
FBgn0243513	cnir	FBtr0077666	FBpp0077350
FBgn0031500	Rtn4ip1	FBtr0335479	FBpp0307453
FBgn0031501	CG17261	FBtr0335385	FBpp0307369
FBgn0042627	FASN2	FBtr0335386	FBpp0307370
FBgn0283427	FASN1	FBtr0077659	FBpp0077343
FBgn0015600	toc	FBtr0077662	FBpp0077346
FBgn0005779	PpD6	FBtr0077660	FBpp0077344
FBgn0031504	CG15403	FBtr0077661	FBpp0077345
FBgn0031505	ND-B14.5B	FBtr0329905	FBpp0302939
FBgn0011648	Mad	FBtr0077616	FBpp0077302
FBgn0260817	Tdp1	FBtr0077574	FBpp0077263
FBgn0014906	Hydr2	FBtr0308315	FBpp0300634
FBgn0264744	CG44002	FBtr0334134	FBpp0306251
FBgn0051698	CG31698	FBtr0344143	FBpp0310557
FBgn0031512	CG15404	FBtr0344142	FBpp0310556
FBgn0085422	CG34393	FBtr0340590	FBpp0309471
FBgn0031513	CG3347	FBtr0301033	FBpp0290255
FBgn0031514	OtopLb	FBtr0077608	FBpp0077295
FBgn0031515	CG9664	FBtr0077605	FBpp0077292
FBgn0031516	CG9663	FBtr0077604	FBpp0077291
FBgn0031518	CG3277	FBtr0114460	FBpp0112952
FBgn0031517	CG15406	FBtr0077580	FBpp0077268
FBgn0031519	Fign	FBtr0331372	FBpp0303790
FBgn0031520	CG8837	FBtr0077583	FBpp0077271
FBgn0053281	CG33281	FBtr0077584	FBpp0077272
FBgn0053282	CG33282	FBtr0113458	FBpp0112370
FBgn0031522	CG3285	FBtr0077586	FBpp0077274
FBgn0031523	CG15408	FBtr0077587	FBpp0077275
FBgn0020445	E23	FBtr0089979	FBpp0088917
FBgn0031526	CG8838	FBtr0077588	FBpp0077276
FBgn0085423	GramD1B	FBtr0112638	FBpp0111550
FBgn0031528	CG15412	FBtr0113018	FBpp0111931
FBgn0031529	Ostc	FBtr0332407	FBpp0304680
FBgn0016698	Ptpa	FBtr0077589	FBpp0077277
FBgn0259949	Sfp23F	FBtr0300295	FBpp0289523
FBgn0259950	CG42460	FBtr0343241	FBpp0309922
FBgn0085204	CG34175	FBtr0112366	FBpp0111281
FBgn0031530	Pgant2	FBtr0303992	FBpp0292961
FBgn0031531	CG8840	FBtr0077590	FBpp0077278
FBgn0051952	CG31952	FBtr0343237	FBpp0309919
FBgn0031533	CG2772	FBtr0077516	FBpp0077205
FBgn0031534	Snx1	FBtr0077517	FBpp0077206
FBgn0031535	CG12795	FBtr0113019	FBpp0111932
FBgn0031536	Cog3	FBtr0077573	FBpp0077262
FBgn0266670	Sec5	FBtr0077519	FBpp0077208
FBgn0031538	CG3246	FBtr0077572	FBpp0077261
FBgn0005616	msl-2	FBtr0077570	FBpp0077259
FBgn0021967	ND-PDSW	FBtr0077520	FBpp0077209
FBgn0031540	Pif1	FBtr0343239	FBpp0309921
FBgn0051776	CG31776	FBtr0077522	FBpp0077211
FBgn0051956	Pgant4	FBtr0333248	FBpp0305447
FBgn0261560	Thor	FBtr0077524	FBpp0077213
FBgn0031542	CG15414	FBtr0077568	FBpp0077257
FBgn0014396	tim	FBtr0333253	FBpp0305451
FBgn0051954	CG31954	FBtr0077563	FBpp0077252
FBgn0284253	LeuRS	FBtr0345640	FBpp0311704
FBgn0031544	CG17593	FBtr0333250	FBpp0305448
FBgn0031545	CG3213	FBtr0077561	FBpp0077250
FBgn0031546	CG8851	FBtr0333251	FBpp0305449
FBgn0031547	Sr-CIV	FBtr0077560	FBpp0077249
FBgn0031548	CG8852	FBtr0089937	FBpp0088876
FBgn0031549	Spindly	FBtr0301590	FBpp0290805
FBgn0031550	IFT57	FBtr0077529	FBpp0077218
FBgn0024244	drm	FBtr0077530	FBpp0077219
FBgn0264363	CG43815	FBtr0332222	FBpp0304526
FBgn0004892	sob	FBtr0077558	FBpp0077247
FBgn0002985	odd	FBtr0077557	FBpp0077246
FBgn0015663	Ugt36A1	FBtr0339571	FBpp0308647
FBgn0031554	CG15418	FBtr0446100	FBpp0402802
FBgn0000721	for	FBtr0089304	FBpp0088350
FBgn0085369	Drgx	FBtr0339572	FBpp0308648
FBgn0259951	Sfp24Ba	FBtr0300296	FBpp0289524
FBgn0259953	Sfp24Bd	FBtr0302203	FBpp0291413
FBgn0259952	Sfp24Bb	FBtr0300297	FBpp0289525
FBgn0261054	Sfp24Bc	FBtr0301934	FBpp0291146
FBgn0031558	CG16704	FBtr0339575	FBpp0308650
FBgn0031559	CG3513	FBtr0077549	FBpp0077238
FBgn0051779	Acp24A4	FBtr0305673	FBpp0296953
FBgn0262721	CG43165	FBtr0305706	FBpp0296986
FBgn0031560	CG16713	FBtr0077547	FBpp0077236
FBgn0031561	IM33	FBtr0345610	FBpp0311679
FBgn0031562	CG3604	FBtr0346581	FBpp0312172
FBgn0031563	CG10031	FBtr0077544	FBpp0077233
FBgn0259954	CG42464	FBtr0300300	FBpp0289528
